,"fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race",Eclectic,Rolling Minimum
,"Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3",,
,"7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race",,
,"6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ","6:11:50 AM, Simflow\SimFlow_Fuji_RACE.sto ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,,
Str 0-1 (End),00:13.277,00:11.598,00:11.278,00:12.036,00:11.422,00:11.334,00:11.325,00:11.309,00:11.545,00:11.140,00:11.330,00:11.234,00:11.152,00:11.218,00:11.327,00:11.353,00:11.145,00:11.301,00:11.484,00:45.728,00:11.192,00:11.245,00:11.272,00:11.362,00:11.140,00:11.301
Turn 1,00:03.720,00:03.629,00:03.608,00:04.215,00:03.432,00:03.581,00:03.530,00:03.489,00:03.663,00:03.652,00:03.515,00:03.468,00:03.624,00:03.626,00:03.351,00:03.360,00:03.385,00:03.399,00:03.459,00:03.892,00:03.681,00:03.430,00:03.379,00:03.502,00:03.351,00:03.399
Str 1-2,00:10.733,00:10.764,00:10.578,00:10.966,00:10.457,00:10.490,00:10.506,00:10.472,00:10.435,00:10.265,00:10.375,00:10.442,00:10.436,00:10.530,00:10.484,00:10.477,00:10.539,00:10.338,00:10.420,00:10.342,00:10.328,00:10.391,00:10.346,00:10.404,00:10.265,00:10.338
Turn 2,00:00.626,00:00.597,00:00.597,00:00.691,00:00.581,00:00.604,00:00.574,00:00.598,00:00.585,00:00.587,00:00.580,00:00.595,00:00.584,00:00.588,00:00.564,00:00.567,00:00.573,00:00.580,00:00.552,00:00.551,00:00.567,00:00.573,00:00.563,00:00.581,00:00.551,00:00.580
Str 2-3,00:04.415,00:04.091,00:04.148,00:04.447,00:04.064,00:04.081,00:04.084,00:04.130,00:04.145,00:04.127,00:04.052,00:04.090,00:04.049,00:04.198,00:04.061,00:04.067,00:04.037,00:04.057,00:03.995,00:04.177,00:04.053,00:04.063,00:04.022,00:04.132,00:03.995,00:04.057
