"Bin Centre","Lap 9"
"-10.00","0.00%"
"-9.50","0.01%"
"-9.00","0.01%"
"-8.50","0.02%"
"-8.00","0.02%"
"-7.50","0.02%"
"-7.00","0.03%"
"-6.50","0.03%"
"-6.00","0.03%"
"-5.50","0.04%"
"-5.00","0.04%"
"-4.50","0.07%"
"-4.00","0.07%"
"-3.50","0.11%"
"-3.00","0.15%"
"-2.50","0.33%"
"-2.00","0.84%"
"-1.50","2.82%"
"-1.00","11.23%"
"-0.50","20.97%"
"0.00","28.10%"
"0.50","18.92%"
"1.00","10.97%"
"1.50","3.44%"
"2.00","0.89%"
"2.50","0.29%"
"3.00","0.12%"
"3.50","0.08%"
"4.00","0.06%"
"4.50","0.06%"
"5.00","0.03%"
"5.50","0.03%"
"6.00","0.03%"
"6.50","0.02%"
"7.00","0.02%"
"7.50","0.02%"
"8.00","0.01%"
"8.50","0.01%"
"9.00","0.01%"
"9.50","0.01%"
"10.00","0.01%"
