,"fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race","fuji gp, Race",Eclectic,Rolling Minimum
,"Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3","Chris Thompson21, acuransxevo22gt3",,
,"7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race","7/4/2025, Race",,
,"12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ","12:12:47 AM, Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,,
Str 0-1 (End),00:14.493,00:11.121,00:11.268,00:11.257,00:11.489,00:11.236,00:11.196,00:11.018,00:11.110,00:11.133,00:11.367,01:04.650,00:11.307,00:11.368,00:11.707,00:11.264,00:11.100,00:11.250,00:11.317,00:11.018,00:11.110
Turn 1,00:03.611,00:03.668,00:03.879,00:03.564,00:03.477,00:03.404,00:03.462,00:03.592,00:03.618,00:03.694,00:03.475,00:03.747,00:03.788,00:03.771,00:03.414,00:03.385,00:03.588,00:03.624,00:03.504,00:03.385,00:03.618
Str 1-2,00:11.166,00:10.609,00:10.501,00:10.323,00:10.396,00:10.360,00:10.245,00:10.549,00:10.283,00:10.421,00:10.490,00:10.565,00:10.477,00:10.252,00:10.336,00:10.145,00:10.538,00:10.301,00:10.209,00:10.145,00:10.283
Turn 2,00:00.733,00:00.583,00:00.576,00:00.584,00:00.538,00:00.542,00:00.515,00:00.551,00:00.539,00:00.554,00:00.587,00:00.591,00:00.553,00:00.569,00:00.583,00:00.553,00:00.650,00:00.556,00:00.556,00:00.515,00:00.539
Str 2-3,00:04.548,00:04.456,00:04.034,00:04.158,00:03.999,00:04.034,00:04.110,00:04.101,00:04.084,00:04.111,00:04.465,00:04.249,00:04.125,00:04.067,00:04.709,00:04.119,00:04.570,00:04.079,00:03.982,00:03.982,00:04.084
