"Format","MoTeC CSV File",,,"Workbook","Aero Platform"
"Venue","fuji gp",,,"Worksheet","Aero Map"
"Vehicle","acuransxevo22gt3",,,"Vehicle Desc","acuransxevo22gt3"
"Driver","Chris Thompson21",,,"Engine ID",""
"Device","ADL"
"Comment","Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto",,,"Session","Race"
"Log Date","7/4/2025",,,"Origin Time","0.000","s"
"Log Time","12:12:47 AM",,,"Start Time","0.000","s"
"Sample Rate","50.000","Hz",,"End Time","2263.900","s"
"Duration","2263.900","s",,"Start Distance","0","ft"
"Range","Lap 9 (selection)",,,"End Distance","289191","ft"
"Beacon Markers","197.713 316.399 423.724 526.278 628.438 730.721 838.954 940.989 1043.496 1144.610 1247.110 1359.308 1518.971 1622.668 1725.041 1827.451 1929.042 2044.844 2147.252 2248.998 "


"Time","Rake Angle","Aero Map Proxy"
"s","deg",""


"0.000","0.16","-0.01"
"0.020","0.22","-0.02"
"0.040","0.27","-0.03"
"0.060","0.29","-0.04"
"0.080","0.28","-0.03"
"0.100","0.27","-0.01"
"0.120","0.26","-0.01"
"0.140","0.26","-0.02"
"0.160","0.27","-0.03"
"0.180","0.28","-0.03"
"0.200","0.29","-0.02"
"0.220","0.28","-0.01"
"0.240","0.27","-0.01"
"0.260","0.26","-0.02"
"0.280","0.25","-0.02"
"0.300","0.25","-0.02"
"0.320","0.26","-0.01"
"0.340","0.27","-0.01"
"0.360","0.28","-0.00"
"0.380","0.28","-0.01"
"0.400","0.29","-0.01"
"0.420","0.29","-0.01"
"0.440","0.28","-0.01"
"0.460","0.28","-0.01"
"0.480","0.27","-0.01"
"0.500","0.26","-0.00"
"0.520","0.26","-0.01"
"0.540","0.26","-0.01"
"0.560","0.26","-0.01"
"0.580","0.27","-0.01"
"0.600","0.27","-0.01"
"0.620","0.28","-0.00"
"0.640","0.28","-0.00"
"0.660","0.28","-0.00"
"0.680","0.28","-0.00"
"0.700","0.28","-0.00"
"0.720","0.27","-0.01"
"0.740","0.27","-0.01"
"0.760","0.27","-0.01"
"0.780","0.27","-0.00"
"0.800","0.27","-0.00"
"0.820","0.27","-0.00"
"0.840","0.27","-0.00"
"0.860","0.27","-0.01"
"0.880","0.27","-0.01"
"0.900","0.27","-0.00"
"0.920","0.27","-0.00"
"0.940","0.27","-0.00"
"0.960","0.27","-0.00"
"0.980","0.27","-0.00"
"1.000","0.27","-0.00"
"1.020","0.27","-0.00"
"1.040","0.27","-0.00"
"1.060","0.27","-0.00"
"1.080","0.27","-0.00"
"1.100","0.27","-0.00"
"1.120","0.27","-0.00"
"1.140","0.27","-0.00"
"1.160","0.27","-0.00"
"1.180","0.27","-0.00"
"1.200","0.27","-0.00"
"1.220","0.27","-0.00"
"1.240","0.27","-0.00"
"1.260","0.27","-0.00"
"1.280","0.27","-0.00"
"1.300","0.27","-0.00"
"1.320","0.27","-0.01"
"1.340","0.27","-0.01"
"1.360","0.27","-0.00"
"1.380","0.27","-0.00"
"1.400","0.27","-0.00"
"1.420","0.27","-0.00"
"1.440","0.27","-0.00"
"1.460","0.27","-0.00"
"1.480","0.27","-0.00"
"1.500","0.27","-0.00"
"1.520","0.27","-0.00"
"1.540","0.27","-0.00"
"1.560","0.27","-0.00"
"1.580","0.27","-0.00"
"1.600","0.27","-0.00"
"1.620","0.27","-0.00"
"1.640","0.27","-0.00"
"1.660","0.27","-0.00"
"1.680","0.27","-0.00"
"1.700","0.27","-0.00"
"1.720","0.27","-0.00"
"1.740","0.27","-0.00"
"1.760","0.27","-0.00"
"1.780","0.27","-0.00"
"1.800","0.27","-0.00"
"1.820","0.27","-0.00"
"1.840","0.27","-0.00"
"1.860","0.27","-0.00"
"1.880","0.27","-0.00"
"1.900","0.27","-0.00"
"1.920","0.27","-0.00"
"1.940","0.27","-0.00"
"1.960","0.27","-0.00"
"1.980","0.27","-0.00"
"2.000","0.27","-0.00"
"2.020","0.27","-0.00"
"2.040","0.27","-0.00"
"2.060","0.27","-0.00"
"2.080","0.27","-0.00"
"2.100","0.27","-0.00"
"2.120","0.27","-0.00"
"2.140","0.27","-0.00"
"2.160","0.27","-0.00"
"2.180","0.27","-0.00"
"2.200","0.27","-0.00"
"2.220","0.27","-0.00"
"2.240","0.27","-0.00"
"2.260","0.27","-0.00"
"2.280","0.27","-0.00"
"2.300","0.27","-0.00"
"2.320","0.27","-0.00"
"2.340","0.27","-0.00"
"2.360","0.27","-0.00"
"2.380","0.27","-0.00"
"2.400","0.27","-0.00"
"2.420","0.27","-0.00"
"2.440","0.27","-0.00"
"2.460","0.27","-0.00"
"2.480","0.27","-0.00"
"2.500","0.27","-0.00"
"2.520","0.27","-0.00"
"2.540","0.27","-0.00"
"2.560","0.27","-0.00"
"2.580","0.27","-0.00"
"2.600","0.27","-0.00"
"2.620","0.27","-0.00"
"2.640","0.27","-0.00"
"2.660","0.27","-0.00"
"2.680","0.27","-0.00"
"2.700","0.27","-0.00"
"2.720","0.27","-0.00"
"2.740","0.27","-0.00"
"2.760","0.27","-0.00"
"2.780","0.27","-0.00"
"2.800","0.27","-0.00"
"2.820","0.27","-0.00"
"2.840","0.27","-0.00"
"2.860","0.27","-0.00"
"2.880","0.27","-0.00"
"2.900","0.27","-0.00"
"2.920","0.27","-0.00"
"2.940","0.27","-0.00"
"2.960","0.27","-0.00"
"2.980","0.27","-0.00"
"3.000","0.27","-0.00"
"3.020","0.27","-0.00"
"3.040","0.27","-0.00"
"3.060","0.27","-0.00"
"3.080","0.27","-0.00"
"3.100","0.27","-0.00"
"3.120","0.27","-0.00"
"3.140","0.27","-0.00"
"3.160","0.27","-0.00"
"3.180","0.27","-0.00"
"3.200","0.27","-0.00"
"3.220","0.27","-0.00"
"3.240","0.27","-0.00"
"3.260","0.27","-0.00"
"3.280","0.27","-0.00"
"3.300","0.27","-0.00"
"3.320","0.27","-0.00"
"3.340","0.27","-0.00"
"3.360","0.27","-0.00"
"3.380","0.27","-0.00"
"3.400","0.27","-0.00"
"3.420","0.27","-0.00"
"3.440","0.27","-0.00"
"3.460","0.27","-0.00"
"3.480","0.27","-0.00"
"3.500","0.27","-0.00"
"3.520","0.27","-0.00"
"3.540","0.27","-0.00"
"3.560","0.27","-0.00"
"3.580","0.27","-0.00"
"3.600","0.27","-0.00"
"3.620","0.27","-0.00"
"3.640","0.27","-0.00"
"3.660","0.27","-0.00"
"3.680","0.27","-0.00"
"3.700","0.27","-0.00"
"3.720","0.27","-0.00"
"3.740","0.27","-0.00"
"3.760","0.27","-0.00"
"3.780","0.27","-0.00"
"3.800","0.27","-0.00"
"3.820","0.27","-0.00"
"3.840","0.27","-0.00"
"3.860","0.27","-0.00"
"3.880","0.27","-0.00"
"3.900","0.27","-0.00"
"3.920","0.27","-0.00"
"3.940","0.27","-0.00"
"3.960","0.27","-0.00"
"3.980","0.27","-0.00"
"4.000","0.27","-0.00"
"4.020","0.27","-0.00"
"4.040","0.27","-0.00"
"4.060","0.27","-0.00"
"4.080","0.27","-0.00"
"4.100","0.27","-0.00"
"4.120","0.27","-0.00"
"4.140","0.27","-0.00"
"4.160","0.27","-0.00"
"4.180","0.27","-0.00"
"4.200","0.27","-0.00"
"4.220","0.27","-0.00"
"4.240","0.27","-0.00"
"4.260","0.27","-0.00"
"4.280","0.27","-0.00"
"4.300","0.27","-0.00"
"4.320","0.27","-0.00"
"4.340","0.27","-0.00"
"4.360","0.27","-0.00"
"4.380","0.27","-0.00"
"4.400","0.27","-0.00"
"4.420","0.27","-0.00"
"4.440","0.27","-0.00"
"4.460","0.27","-0.00"
"4.480","0.27","-0.00"
"4.500","0.27","-0.00"
"4.520","0.27","-0.00"
"4.540","0.27","-0.00"
"4.560","0.27","-0.00"
"4.580","0.27","-0.00"
"4.600","0.27","-0.00"
"4.620","0.27","-0.00"
"4.640","0.27","-0.00"
"4.660","0.27","-0.00"
"4.680","0.27","-0.00"
"4.700","0.27","-0.00"
"4.720","0.27","-0.00"
"4.740","0.27","-0.00"
"4.760","0.27","-0.00"
"4.780","0.27","-0.00"
"4.800","0.27","-0.00"
"4.820","0.27","-0.00"
"4.840","0.27","-0.00"
"4.860","0.27","-0.00"
"4.880","0.27","-0.00"
"4.900","0.27","-0.00"
"4.920","0.27","-0.00"
"4.940","0.27","-0.00"
"4.960","0.27","-0.00"
"4.980","0.27","-0.00"
"5.000","0.27","-0.00"
"5.020","0.27","-0.00"
"5.040","0.27","-0.00"
"5.060","0.27","-0.00"
"5.080","0.27","-0.00"
"5.100","0.27","-0.00"
"5.120","0.27","-0.00"
"5.140","0.27","-0.00"
"5.160","0.27","-0.00"
"5.180","0.27","-0.00"
"5.200","0.27","-0.00"
"5.220","0.27","-0.00"
"5.240","0.27","-0.00"
"5.260","0.27","-0.00"
"5.280","0.27","-0.00"
"5.300","0.27","-0.00"
"5.320","0.27","-0.00"
"5.340","0.27","-0.00"
"5.360","0.27","-0.00"
"5.380","0.27","-0.00"
"5.400","0.27","-0.00"
"5.420","0.27","-0.00"
"5.440","0.27","-0.00"
"5.460","0.27","-0.00"
"5.480","0.27","-0.00"
"5.500","0.27","-0.00"
"5.520","0.27","-0.00"
"5.540","0.27","-0.00"
"5.560","0.27","-0.00"
"5.580","0.27","-0.00"
"5.600","0.27","-0.00"
"5.620","0.27","-0.00"
"5.640","0.27","-0.00"
"5.660","0.27","-0.00"
"5.680","0.27","-0.00"
"5.700","0.27","-0.00"
"5.720","0.27","-0.00"
