"Format","MoTeC CSV File",,,"Workbook","Engine"
"Venue","fuji gp",,,"Worksheet","Fuel"
"Vehicle","acuransxevo22gt3",,,"Vehicle Desc","acuransxevo22gt3"
"Driver","Chris Thompson21",,,"Engine ID",""
"Device","ADL"
"Comment","Simflow\ SimFlow_Fuji_ULTIMATE_PERFECTION.sto",,,"Session","Race"
"Log Date","7/4/2025",,,"Origin Time","0.000","s"
"Log Time","12:12:47 AM",,,"Start Time","0.000","s"
"Sample Rate","50.000","Hz",,"End Time","2263.900","s"
"Duration","2263.900","s",,"Start Distance","0","ft"
"Range","Lap 9 (selection)",,,"End Distance","289191","ft"
"Beacon Markers","197.713 316.399 423.724 526.278 628.438 730.721 838.954 940.989 1043.496 1144.610 1247.110 1359.308 1518.971 1622.668 1725.041 1827.451 1929.042 2044.844 2147.252 2248.998 "


"Time","Engine RPM","Throttle Pos","Fuel Level"
"s","rpm","%","USgal"


"0.000","300","0.0","14.79"
"0.020","300","0.0","14.79"
"0.040","300","0.0","14.79"
"0.060","300","0.0","14.79"
"0.080","300","0.0","14.79"
"0.100","300","0.0","14.79"
"0.120","300","0.0","14.79"
"0.140","300","0.0","14.79"
"0.160","300","0.0","14.79"
"0.180","300","0.0","14.79"
"0.200","300","0.0","14.79"
"0.220","300","0.0","14.79"
"0.240","300","0.0","14.79"
"0.260","300","0.0","14.79"
"0.280","300","0.0","14.79"
"0.300","300","0.0","14.79"
"0.320","300","0.0","14.79"
"0.340","300","0.0","14.79"
"0.360","300","0.0","14.79"
"0.380","300","0.0","14.79"
"0.400","300","0.0","14.79"
"0.420","300","0.0","14.79"
"0.440","300","0.0","14.79"
"0.460","300","0.0","14.79"
"0.480","300","0.0","14.79"
"0.500","300","0.0","14.79"
"0.520","300","0.0","14.79"
"0.540","300","0.0","14.79"
"0.560","300","0.0","14.79"
"0.580","300","0.0","14.79"
"0.600","300","0.0","14.79"
"0.620","303","0.0","14.79"
"0.640","362","0.0","14.79"
"0.660","407","0.0","14.79"
"0.680","365","0.0","14.79"
"0.700","432","0.0","14.79"
"0.720","392","0.0","14.79"
"0.740","387","0.0","14.79"
"0.760","414","0.0","14.79"
"0.780","366","0.0","14.79"
"0.800","429","0.0","14.79"
"0.820","396","0.0","14.79"
"0.840","384","0.0","14.79"
"0.860","416","0.0","14.79"
"0.880","366","0.0","14.79"
"0.900","425","0.0","14.79"
"0.920","401","0.0","14.79"
"0.940","382","0.0","14.79"
"0.960","418","0.0","14.79"
"0.980","366","0.0","14.79"
"1.000","420","0.0","14.79"
"1.020","406","0.0","14.79"
"1.040","379","0.0","14.79"
"1.060","420","0.0","14.79"
"1.080","367","0.0","14.79"
"1.100","416","0.0","14.79"
"1.120","416","0.0","14.79"
"1.140","450","0.0","14.79"
"1.160","626","0.0","14.79"
"1.180","791","0.0","14.79"
"1.200","945","0.0","14.79"
"1.220","1143","0.0","14.79"
"1.240","1335","0.0","14.79"
"1.260","1464","0.0","14.79"
"1.280","1568","0.0","14.79"
"1.300","1650","0.0","14.79"
"1.320","1715","0.0","14.79"
"1.340","1766","0.0","14.79"
"1.360","1807","0.0","14.79"
"1.380","1839","0.0","14.79"
"1.400","1865","0.0","14.79"
"1.420","1885","0.0","14.79"
"1.440","1901","0.0","14.79"
"1.460","1914","0.0","14.79"
"1.480","1923","0.0","14.79"
"1.500","1931","0.0","14.79"
"1.520","1936","0.0","14.79"
"1.540","1940","0.0","14.79"
"1.560","1943","0.0","14.79"
"1.580","1945","0.0","14.79"
"1.600","1946","0.0","14.79"
"1.620","1946","0.0","14.79"
"1.640","1946","0.0","14.79"
"1.660","1946","0.0","14.79"
"1.680","1945","0.0","14.79"
"1.700","1944","0.0","14.79"
"1.720","1942","0.0","14.79"
"1.740","1941","0.0","14.79"
"1.760","1939","0.0","14.79"
"1.780","1938","0.0","14.79"
"1.800","1936","0.0","14.79"
"1.820","1934","0.0","14.79"
"1.840","1932","0.0","14.79"
"1.860","1930","0.0","14.79"
"1.880","1927","0.0","14.79"
"1.900","1925","0.0","14.79"
"1.920","1923","0.0","14.79"
"1.940","1921","0.0","14.79"
"1.960","1919","0.0","14.79"
"1.980","1916","0.0","14.79"
"2.000","1914","0.0","14.79"
"2.020","1912","0.0","14.79"
"2.040","1909","0.0","14.79"
"2.060","1907","0.0","14.79"
"2.080","1905","0.0","14.79"
"2.100","1902","0.0","14.79"
"2.120","1900","0.0","14.79"
"2.140","1898","0.0","14.79"
"2.160","1896","0.0","14.79"
"2.180","1893","0.0","14.79"
"2.200","1891","0.0","14.79"
"2.220","1889","0.0","14.79"
"2.240","1886","0.0","14.79"
"2.260","1884","0.0","14.79"
"2.280","1882","0.0","14.79"
"2.300","1879","0.0","14.79"
"2.320","1877","0.0","14.79"
"2.340","1875","0.0","14.79"
"2.360","1872","0.0","14.79"
"2.380","1870","0.0","14.79"
"2.400","1868","0.0","14.79"
"2.420","1866","0.0","14.79"
"2.440","1863","0.0","14.79"
"2.460","1861","0.0","14.79"
"2.480","1859","0.0","14.79"
"2.500","1857","0.0","14.79"
"2.520","1854","0.0","14.79"
"2.540","1852","0.0","14.79"
"2.560","1850","0.0","14.79"
"2.580","1848","0.0","14.79"
"2.600","1845","0.0","14.79"
"2.620","1843","0.0","14.79"
"2.640","1841","0.0","14.79"
"2.660","1839","0.0","14.79"
"2.680","1837","0.0","14.79"
"2.700","1834","0.0","14.79"
"2.720","1832","0.0","14.79"
"2.740","1830","0.0","14.79"
"2.760","1828","0.0","14.79"
"2.780","1826","0.0","14.79"
"2.800","1824","0.0","14.79"
"2.820","1821","0.0","14.79"
"2.840","1819","0.0","14.79"
"2.860","1817","0.0","14.79"
"2.880","1815","0.0","14.79"
"2.900","1813","0.0","14.79"
"2.920","1811","0.0","14.79"
"2.940","1809","0.0","14.79"
"2.960","1807","0.0","14.79"
"2.980","1805","0.0","14.79"
"3.000","1803","0.0","14.79"
"3.020","1801","0.0","14.79"
"3.040","1799","0.0","14.79"
"3.060","1797","0.0","14.79"
"3.080","1795","0.0","14.79"
"3.100","1793","0.0","14.79"
"3.120","1791","0.0","14.79"
"3.140","1789","0.0","14.79"
"3.160","1788","0.0","14.79"
"3.180","1786","0.0","14.79"
"3.200","1784","0.0","14.79"
"3.220","1782","0.0","14.79"
"3.240","1781","0.0","14.79"
"3.260","1779","0.0","14.79"
"3.280","1778","0.0","14.79"
"3.300","1776","0.0","14.79"
"3.320","1775","0.0","14.79"
"3.340","1774","0.0","14.79"
"3.360","1773","0.0","14.79"
"3.380","1771","0.0","14.79"
"3.400","1770","0.0","14.79"
"3.420","1769","0.0","14.79"
"3.440","1768","0.0","14.79"
"3.460","1767","0.0","14.79"
"3.480","1767","0.0","14.79"
"3.500","1766","0.0","14.79"
"3.520","1765","0.0","14.79"
"3.540","1764","0.0","14.79"
"3.560","1763","0.0","14.79"
"3.580","1763","0.0","14.79"
"3.600","1762","0.0","14.79"
"3.620","1762","0.0","14.79"
"3.640","1761","0.0","14.79"
"3.660","1760","0.0","14.79"
"3.680","1760","0.0","14.79"
"3.700","1759","0.0","14.79"
"3.720","1759","0.0","14.79"
"3.740","1758","0.0","14.79"
"3.760","1758","0.0","14.79"
"3.780","1758","0.0","14.79"
"3.800","1757","0.0","14.79"
"3.820","1757","0.0","14.79"
"3.840","1756","0.0","14.79"
"3.860","1756","0.0","14.79"
"3.880","1756","0.0","14.79"
"3.900","1756","0.0","14.79"
"3.920","1755","0.0","14.79"
"3.940","1755","0.0","14.79"
"3.960","1755","0.0","14.79"
"3.980","1754","0.0","14.79"
"4.000","1754","0.0","14.79"
"4.020","1754","0.0","14.79"
"4.040","1754","0.0","14.79"
"4.060","1754","0.0","14.79"
"4.080","1753","0.0","14.79"
"4.100","1753","0.0","14.79"
"4.120","1753","0.0","14.79"
"4.140","1753","0.0","14.79"
"4.160","1753","0.0","14.79"
"4.180","1753","0.0","14.79"
"4.200","1752","0.0","14.79"
"4.220","1752","0.0","14.79"
"4.240","1752","0.0","14.79"
"4.260","1752","0.0","14.79"
"4.280","1752","0.0","14.79"
"4.300","1752","0.0","14.79"
"4.320","1752","0.0","14.79"
"4.340","1752","0.0","14.79"
"4.360","1752","0.0","14.79"
"4.380","1751","0.0","14.79"
"4.400","1751","0.0","14.79"
"4.420","1751","0.0","14.79"
"4.440","1751","0.0","14.79"
"4.460","1751","0.0","14.79"
"4.480","1751","0.0","14.79"
"4.500","1751","0.0","14.79"
"4.520","1751","0.0","14.79"
"4.540","1751","0.0","14.79"
"4.560","1751","0.0","14.79"
"4.580","1751","0.0","14.79"
"4.600","1751","0.0","14.79"
"4.620","1751","0.0","14.79"
"4.640","1751","0.0","14.79"
"4.660","1751","0.0","14.79"
"4.680","1751","0.0","14.79"
"4.700","1751","0.0","14.79"
"4.720","1750","0.0","14.79"
"4.740","1750","0.0","14.79"
"4.760","1750","0.0","14.79"
"4.780","1750","0.0","14.79"
"4.800","1750","0.0","14.79"
"4.820","1750","0.0","14.79"
"4.840","1750","0.0","14.79"
"4.860","1750","0.0","14.79"
"4.880","1750","0.0","14.79"
"4.900","1750","0.0","14.79"
"4.920","1750","0.0","14.79"
"4.940","1750","0.0","14.79"
"4.960","1750","0.0","14.79"
"4.980","1750","0.0","14.79"
"5.000","1750","0.0","14.79"
"5.020","1750","0.0","14.79"
"5.040","1750","0.0","14.79"
"5.060","1750","0.0","14.79"
"5.080","1750","0.0","14.79"
"5.100","1750","0.0","14.79"
"5.120","1750","0.0","14.79"
"5.140","1750","0.0","14.79"
"5.160","1750","0.0","14.79"
"5.180","1750","0.0","14.79"
"5.200","1750","0.0","14.79"
"5.220","1750","0.0","14.79"
"5.240","1750","0.0","14.79"
"5.260","1750","0.0","14.79"
"5.280","1750","0.0","14.79"
"5.300","1750","0.0","14.79"
"5.320","1750","0.0","14.79"
"5.340","1750","0.0","14.79"
"5.360","1750","0.0","14.79"
"5.380","1750","0.0","14.79"
"5.400","1750","0.0","14.79"
"5.420","1750","0.0","14.79"
"5.440","1750","0.0","14.79"
"5.460","1750","0.0","14.79"
"5.480","1750","0.0","14.79"
"5.500","1750","0.0","14.79"
"5.520","1750","0.0","14.79"
"5.540","1750","0.0","14.79"
"5.560","1750","0.0","14.79"
"5.580","1750","0.0","14.79"
"5.600","1750","0.0","14.79"
"5.620","1750","0.0","14.79"
"5.640","1750","0.0","14.79"
"5.660","1750","0.0","14.79"
"5.680","1750","0.0","14.79"
"5.700","1750","0.0","14.79"
"5.720","1750","0.0","14.79"
"5.740","1750","0.0","14.79"
"5.760","1750","0.0","14.79"
"5.780","1750","0.0","14.79"
"5.800","1750","0.0","14.79"
"5.820","1750","0.0","14.79"
"5.840","1750","0.0","14.79"
"5.860","1750","0.0","14.79"
"5.880","1750","0.0","14.79"
"5.900","1750","0.0","14.79"
"5.920","1750","0.0","14.79"
"5.940","1750","0.0","14.79"
"5.960","1750","0.0","14.79"
"5.980","1750","0.0","14.79"
"6.000","1750","0.0","14.79"
"6.020","1750","0.0","14.79"
"6.040","1750","0.0","14.79"
"6.060","1750","0.0","14.79"
"6.080","1750","0.0","14.79"
"6.100","1750","0.0","14.79"
"6.120","1750","0.0","14.79"
"6.140","1750","0.0","14.79"
"6.160","1750","0.0","14.79"
"6.180","1750","0.0","14.79"
"6.200","1750","0.0","14.79"
"6.220","1750","0.0","14.79"
"6.240","1750","0.0","14.79"
"6.260","1750","0.0","14.79"
"6.280","1750","0.0","14.79"
"6.300","1750","0.0","14.79"
"6.320","1750","0.0","14.79"
"6.340","1750","0.0","14.79"
"6.360","1750","0.0","14.79"
"6.380","1750","0.0","14.79"
"6.400","1750","0.0","14.79"
"6.420","1750","0.0","14.79"
"6.440","1750","0.0","14.79"
"6.460","1750","0.0","14.79"
"6.480","1750","0.0","14.79"
"6.500","1750","0.0","14.79"
"6.520","1750","0.0","14.79"
"6.540","1750","0.0","14.79"
"6.560","1750","0.0","14.79"
"6.580","1750","0.0","14.79"
"6.600","1750","0.0","14.79"
"6.620","1750","0.0","14.79"
"6.640","1750","0.0","14.79"
"6.660","1750","0.0","14.79"
"6.680","1750","0.0","14.79"
